under ten dollars
under twenty dollars
under thirty dollars
under fifty dollars
under one hundred dollars
budget friendly
affordable
inexpensive
cheap
mid range
moderate
premium
expensive
luxury
high end
splurge
investment
collector
rare
exclusive
